freq,rn,nfmin,sopt_r,sopt_i,s11_r,s11_i,s12_r,s12_i,s21_r,s21_i,s22_r,s22_i
7.000E8,5.990,0.099,0.827,0.051,0.803,-0.196,-8.904E-5,-9.620E-5,32.431,-1.364,-0.074,0.165
7.260E8,5.991,0.100,0.827,0.053,0.797,-0.197,-1.055E-4,-1.044E-4,33.529,-3.878,-0.058,0.163
7.520E8,5.984,0.100,0.826,0.055,0.790,-0.198,-1.253E-4,-1.124E-4,34.558,-6.737,-0.042,0.159
7.780E8,5.976,0.100,0.826,0.056,0.782,-0.197,-1.480E-4,-1.189E-4,35.247,-9.963,-0.027,0.154
8.040E8,5.969,0.101,0.825,0.058,0.775,-0.195,-1.731E-4,-1.235E-4,35.479,-13.382,-0.014,0.147
8.300E8,5.965,0.101,0.824,0.059,0.769,-0.193,-2.004E-4,-1.262E-4,35.268,-16.866,-0.001,0.139
8.560E8,5.963,0.101,0.824,0.061,0.763,-0.191,-2.298E-4,-1.267E-4,34.642,-20.351,0.010,0.129
8.820E8,5.962,0.102,0.823,0.062,0.758,-0.188,-2.612E-4,-1.249E-4,33.619,-23.791,0.019,0.118
9.080E8,5.962,0.102,0.822,0.064,0.753,-0.186,-2.945E-4,-1.205E-4,32.210,-27.142,0.027,0.106
9.340E8,5.962,0.102,0.822,0.066,0.748,-0.183,-3.297E-4,-1.131E-4,30.429,-30.362,0.033,0.094
9.600E8,5.963,0.103,0.821,0.067,0.744,-0.180,-3.664E-4,-1.023E-4,28.292,-33.408,0.037,0.081
9.860E8,5.964,0.103,0.821,0.069,0.740,-0.177,-4.043E-4,-8.798E-5,25.822,-36.239,0.039,0.068
1.012E9,5.965,0.104,0.820,0.070,0.737,-0.174,-4.432E-4,-6.973E-5,23.044,-38.814,0.040,0.054
1.038E9,5.967,0.104,0.819,0.072,0.733,-0.170,-4.827E-4,-4.735E-5,19.993,-41.098,0.038,0.042
1.064E9,5.969,0.105,0.819,0.073,0.731,-0.167,-5.223E-4,-2.065E-5,16.706,-43.059,0.035,0.030
1.090E9,5.972,0.105,0.818,0.075,0.728,-0.163,-5.615E-4,1.049E-5,13.226,-44.670,0.030,0.018
1.116E9,5.975,0.106,0.817,0.076,0.726,-0.159,-5.999E-4,4.613E-5,9.598,-45.912,0.023,0.008
1.142E9,5.978,0.106,0.817,0.078,0.725,-0.155,-6.371E-4,8.626E-5,5.870,-46.772,0.015,-0.001
1.168E9,5.981,0.106,0.816,0.079,0.723,-0.151,-6.724E-4,1.308E-4,2.091,-47.245,0.006,-0.008
1.194E9,5.985,0.107,0.816,0.081,0.723,-0.147,-7.055E-4,1.797E-4,-1.690,-47.333,-0.004,-0.014
1.220E9,5.988,0.107,0.815,0.082,0.723,-0.143,-7.359E-4,2.326E-4,-5.427,-47.046,-0.015,-0.018
1.246E9,5.993,0.108,0.814,0.084,0.723,-0.139,-7.631E-4,2.893E-4,-9.075,-46.397,-0.026,-0.021
1.272E9,5.997,0.108,0.814,0.085,0.724,-0.135,-7.869E-4,3.495E-4,-12.595,-45.410,-0.038,-0.021
1.298E9,6.002,0.109,0.813,0.087,0.726,-0.132,-8.069E-4,4.129E-4,-15.951,-44.110,-0.049,-0.020
1.324E9,6.007,0.109,0.812,0.088,0.727,-0.129,-8.229E-4,4.791E-4,-19.114,-42.527,-0.060,-0.018
1.350E9,6.012,0.110,0.812,0.090,0.730,-0.126,-8.347E-4,0.001,-22.057,-40.693,-0.071,-0.014
1.376E9,6.018,0.110,0.811,0.091,0.732,-0.123,-8.420E-4,0.001,-24.764,-38.643,-0.080,-0.008
1.402E9,6.024,0.111,0.811,0.093,0.736,-0.121,-8.450E-4,0.001,-27.221,-36.411,-0.089,-0.001
1.428E9,6.030,0.111,0.810,0.094,0.739,-0.119,-8.434E-4,0.001,-29.419,-34.033,-0.097,0.007
1.454E9,6.037,0.112,0.809,0.096,0.743,-0.117,-8.374E-4,0.001,-31.355,-31.541,-0.103,0.016
1.480E9,6.045,0.112,0.809,0.097,0.747,-0.116,-8.269E-4,0.001,-33.030,-28.968,-0.109,0.026
1.506E9,6.053,0.113,0.808,0.098,0.751,-0.115,-8.121E-4,0.001,-34.450,-26.343,-0.113,0.036
1.532E9,6.061,0.113,0.808,0.100,0.755,-0.115,-7.932E-4,0.001,-35.621,-23.694,-0.116,0.046
1.558E9,6.070,0.114,0.807,0.101,0.759,-0.115,-7.701E-4,0.001,-36.556,-21.045,-0.117,0.057
1.584E9,6.080,0.114,0.807,0.103,0.764,-0.116,-7.433E-4,0.001,-37.266,-18.421,-0.118,0.068
1.610E9,6.091,0.115,0.806,0.104,0.768,-0.117,-7.128E-4,0.001,-37.767,-15.840,-0.117,0.079
1.636E9,6.103,0.115,0.806,0.106,0.773,-0.119,-6.790E-4,0.001,-38.078,-13.321,-0.115,0.089
1.662E9,6.115,0.116,0.805,0.107,0.777,-0.121,-6.421E-4,0.001,-38.219,-10.877,-0.113,0.099
1.688E9,6.128,0.117,0.805,0.109,0.781,-0.124,-6.024E-4,0.002,-38.213,-8.516,-0.109,0.109
1.714E9,6.140,0.117,0.804,0.111,0.785,-0.126,-5.597E-4,0.002,-38.084,-6.241,-0.105,0.118
1.740E9,6.150,0.118,0.803,0.112,0.789,-0.129,-5.137E-4,0.002,-37.853,-4.040,-0.100,0.127
1.766E9,6.157,0.118,0.803,0.114,0.793,-0.133,-4.636E-4,0.002,-37.527,-1.898,-0.095,0.136
1.792E9,6.160,0.118,0.802,0.115,0.796,-0.136,-4.082E-4,0.002,-37.100,0.197,-0.089,0.145
1.818E9,6.162,0.119,0.802,0.116,0.800,-0.140,-3.473E-4,0.002,-36.556,2.241,-0.081,0.154
1.844E9,6.162,0.119,0.801,0.118,0.803,-0.143,-2.812E-4,0.002,-35.891,4.218,-0.073,0.161
1.870E9,6.164,0.119,0.800,0.119,0.807,-0.147,-2.106E-4,0.002,-35.110,6.107,-0.064,0.168
1.896E9,6.166,0.120,0.800,0.120,0.810,-0.152,-1.362E-4,0.002,-34.230,7.896,-0.054,0.174
1.922E9,6.170,0.120,0.799,0.122,0.813,-0.157,-5.838E-5,0.002,-33.268,9.578,-0.044,0.179
1.948E9,6.175,0.121,0.799,0.123,0.816,-0.162,2.255E-5,0.002,-32.240,11.154,-0.034,0.183
